Card;Set;Buying Price;Buying Date;Note;PC@Purchase;Language;PC*10;price;change;sales_per_day
Pidgeotto 208/197;;60.0;23/02/2025;Card;7,38;English;73,8;;;
Keldeo 179/172;;30.0;24/02/2025;Card;3,71;Japanese;37,1;;;
Lapras 177/172;;30.0;24/02/2025;Card;5,15;Japanese;51,5;;;
Vaporeon 189/184;;80.0;24/02/2025;Card;7,54;Japanese;75,4;;;
Litten 167/162;;100.0;24/02/2025;Card;17,67;English;176,7;;;
Ferrothorn 209/182;;50.0;24/02/2025;Card;6,23;English;62,3;;;
Frakt;;31.0;24/02/2025;Other;0;;0;;;
Binder 151 Mew;;150.0;25/02/2025;Accessory;15,00;English;150,00;;;
Ceruledge 109/106;;80.0;10/03/2025;Card;6,98;Japanese;69,8;;;
Cleffa 113/108;;90.0;10/03/2025;Card;10,12;Japanese;101,2;;;
Ninetales 110/108;;80.0;10/03/2025;Card;8,99;Japanese;89,9;;;
Diancie 186/172;;30.0;10/03/2025;Card;3,18;Japanese;31,8;;;
N’s Reshiram 109/100;;190.0;10/03/2025;Card;14,25;Japanese;142,5;;;
Wailord 103/100;;70.0;10/03/2025;Card;5,96;Japanese;59,6;;;
Shadow Calyrex Vmax 236/184;;60.0;10/03/2025;Card;7,10;Japanese;71,00;;;
Charizard 056 Promo;;75.0;20/03/2025;Card;7,98;English;79,8;;;
Charizard ex 125/197;;45.0;20/03/2025;Card;4,50;English;45,00;;;
Octillery TG03/TG30;;25.0;20/03/2025;Card;2,29;English;22,9;;;
Eevee 173 Promo;;100.0;07/04/2025;Card;10,50;English;105,00;;;
Kingambit 130 Promo;;40.0;07/04/2025;Card;3,50;English;35,00;;;
Bidoof GG29;;20.0;07/04/2025;Card;3,24;English;32,4;;;
Paldean Clodsire ex 244/193;;25.0;07/04/2025;Card;2,40;English;24,00;;;
Magcargo ex 191/167;;5.0;07/04/2025;Other ;2,94;English;29,4;;;
Regigigas V 113/159;;5.0;07/04/2025;Card;1,72;English;17,2;;;
Zamazenta V 98/159;;5.0;07/04/2025;Card;1,88;English;18,8;;;
Frakt;;38.0;07/04/2025;Card;0;;0;;;
Mew ex 53 Promo;;300.0;08/04/2025;Card;39,99;English;399,9;;;
Mewtwo V 030/078;;40.0;08/04/2025;Card;2,95;English;29,5;;;
Mewtwo GX 31/68;;40.0;08/04/2025;Card;3,09;English;30,9;;;
Mewtwo V SWSH223;;40.0;08/04/2025;Card;4,99;English;49,9;;;
Mewtwo 12/18;;40.0;08/04/2025;Card;4,13;English;41,3;;;
Zamazenta V GG54;;100.0;08/04/2025;Card;14,47;English;144,7;;;
Jynx TG04/TG30;;20.0;08/04/2025;Card;2,24;English;22,4;;;
Banette TG07/TG30;;20.0;08/04/2025;Card;2,25;English;22,5;;;
Temple of Mewtwo #18;1999 Topps Movie;0.0;08/04/2025;Collectible;1,35;English;13,5;1.35;0.0;0.0
Frakt;Frakt;50.0;08/04/2025;Other;0;;0;;;0.0
Noctowl #141;Promo;75.0;09/04/2025;Card;4,58;English;45,8;4.19;-0.51;2.0
Paldean Tauros #218;Paldea Evolved;150.0;09/04/2025;Card;11,00;English;110,00;12.2;1.2;2.0
Octillery #TG03;Brilliant Stars;20.0;09/04/2025;Card;2,29;English;22,9;2.17;-0.1;2.0
