Card;Set;Buying Price;Buying Date;Note;PC@Purchase;Language;PC*10;;
Pikachu VMax #SWSH286;Promo;20;23/04/2025;Card;;;0;;
Flying Pikachu VMAX #7;Celebrations;30;23/04/2025;Card;;;0;;
Surfing Pikachu VMAX #9;Celebrations;30;23/04/2025;Card;;;0;;
Pikachu ex #63;Paldea Evolved;30;23/04/2025;Card;;;0;;
Pikachu V Union #SWSH139;Celebrations;40;23/04/2025;Card;;;0;;
Pikachu V Union #SWSH140;Celebrations;30;23/04/2025;Card;;;0;;
Pikachu V Union #SWSH141;Celebrations;40;23/04/2025;Card;;;0;;
Pikachu V Union #SWSH142;Celebrations;40;23/04/2025;Card;;;0;;
Frakt;Frakt;10;23/04/2025;;;;0;;
Bulbasaur #1;Go;2;28/04/2025;Card;;;0;;
Ivysaur #2;Go;2;28/04/2025;Card;;;0;;
Venusaur Holo #3;Go;;;;;;0;Wish;
Squirtle #15;Go;2;28/04/2025;Card;;;0;;
Wartortle #16;Go;2;28/04/2025;Card;;;0;;
Blastoise Holo #17;Go;10;28/04/2025;Card;;;0;;
Charmander #8;Go;2;28/04/2025;Card;;;0;;
Charmeleon #9;Go;2;28/04/2025;Card;;;0;;
Charizard Holo #10;Go;10;28/04/2025;Card;;;0;;
Larvitar #37;Go;2;28/04/2025;Card;;;0;;
Pupitar #38;Go;2;28/04/2025;Card;;;0;;
Tyranitar Holo #43;Go;10;28/04/2025;Card;;;0;;
Eevee #54;Go;2;28/04/2025;Card;;;0;;
Magikarp #21;Go;2;28/04/2025;Card;;;0;;
Gyarados Holo #22;Go;10;28/04/2025;Card;;;0;;
Articuno Holo #24;Go;10;28/04/2025;Card;;;0;;
Zapdos Holo #29;Go;;;;;;0;Wish;
Moltres Holo #12;Go;10;28/04/2025;Card;;;0;;
Blanche #64;Go;5;28/04/2025;Card;;;0;;
Candela #65;Go;5;28/04/2025;Card;;;0;;
Spark #70;Go;5;28/04/2025;Card;;;0;;
Pikachu #27;Go;0;28/04/2025;Card;;;0;;
Pikachu Holo #28;Go;10;28/04/2025;Card;;;0;;
